"sr_code","sr_name","sr_name_mmr","sr_id"
"MMR001","Kachin","ကချင်",1
"MMR002","Kayah","ကယား",2
"MMR003","Kayin","ကရင်",3
"MMR004","Chin","ချင်း",4
"MMR005","Sagaing","စစ်ကိုင်း",5
"MMR006","Tanintharyi","တနင်္သာရီ",6
"MMR007","Bago (East)","ပဲခူး(အရှေ့)",7
"MMR008","Bago (West)","ပဲခူး(အနောက်)",8
"MMR009","Magway","မကွေး",9
"MMR010","Mandalay","မန္တလေး",10
"MMR011","Mon","မွန်",11
"MMR012","Rakhine","ရခိုင်",12
"MMR013","Yangon","ရန်ကုန်",13
"MMR014","Shan (South)","ရှမ်း(တောင်)",14
"MMR015","Shan (North)","ရှမ်း(မြောက်)",15
"MMR016","Shan (East)","ရှမ်း(အရှေ့)",16
"MMR017","Ayeyarwady","ဧရာ၀တီ",17
"MMR018","Naypyitaw","နေပြည်တော်",18
