"ts_code","ts_name","ts_name_mmr","d_code","ts_id","sr_id","d_id"
"MMR001001","Myitkyina","မြစ်ကြီးနား","MMR001D001",1,0,1
"MMR001002","Waingmaw","ဝိုင်းမော်","MMR001D001",2,0,1
"MMR001003","Injangyang","အင်ဂျန်းယန်","MMR001D001",3,0,1
"MMR001004","Tanai","တနိုင်း","MMR001D001",4,0,1
"MMR001005","Chipwi","ချီဗွေ","MMR001D001",5,0,1
"MMR001006","Tsawlaw","ဆော့လော်","MMR001D001",6,0,1
"MMR001007","Mohnyin","မိုးညှင်း","MMR001D002",7,0,2
"MMR001008","Mogaung","မိုးကောင်း","MMR001D002",8,0,2
"MMR001009","Hpakant","ဖားကန့်","MMR001D002",9,0,2
"MMR001010","Bhamo","ဗန်းမော်","MMR001D003",10,0,3
"MMR001011","Shwegu","ရွှေကူ","MMR001D003",11,0,3
"MMR001012","Momauk","မိုးမောက်","MMR001D003",12,0,3
"MMR001013","Mansi","မန်စီ","MMR001D003",13,0,3
"MMR001014","Puta-O","ပူတာအို","MMR001D004",14,0,4
"MMR001015","Sumprabum","ဆွမ်ပရာဘွမ်","MMR001D004",15,0,4
"MMR001016","Machanbaw","မချမ်းဘော","MMR001D004",16,0,4
"MMR001017","Nawngmun","နောင်မွန်း","MMR001D004",17,0,4
"MMR001018","Khaunglanhpu","ခေါင်လန်ဖူး","MMR001D004",18,0,4
"MMR002001","Loikaw","လွိုင်ကော်","MMR002D001",19,0,5
"MMR002002","Demoso","ဒီမောဆို","MMR002D001",20,0,5
"MMR002003","Hpruso","ဖရူးဆိုး","MMR002D001",21,0,5
"MMR002004","Shadaw","ရှားတော","MMR002D001",22,0,5
"MMR002005","Bawlakhe","ဘောလခဲ","MMR002D002",23,0,6
"MMR002006","Hpasawng","ဖားဆောင်း","MMR002D002",24,0,6
"MMR002007","Mese","မယ်စဲ့","MMR002D002",25,0,6
"MMR003001","Hpa-An","ဘားအံ","MMR003D001",26,0,7
"MMR003002","Hlaingbwe","လှိုင်းဘွဲ့","MMR003D001",27,0,7
"MMR003003","Hpapun","ဖာပွန်","MMR003D004",28,0,10
"MMR003004","Thandaunggyi","သံတောင်ကြီး","MMR003D001",29,0,7
"MMR003005","Myawaddy","မြဝတီ","MMR003D002",30,0,8
"MMR003006","Kawkareik","ကော့ကရိတ်","MMR003D003",31,0,9
"MMR003007","Kyainseikgyi","ကြာအင်းဆိပ်ကြီး","MMR003D003",32,0,9
"MMR004001","Falam","ဖလန်း","MMR004D001",33,0,11
"MMR004002","Hakha","ဟားခါး","MMR004D003",34,0,13
"MMR004003","Thantlang","ထန်တလန်","MMR004D003",35,0,13
"MMR004004","Tedim","တီးတိန်","MMR004D001",36,0,11
"MMR004005","Tonzang","တွန်းဇံ","MMR004D001",37,0,11
"MMR004006","Mindat","မင်းတပ်","MMR004D002",38,0,12
"MMR004007","Matupi","မတူပီ","MMR004D002",39,0,12
"MMR004008","Kanpetlet","ကန်ပက်လက်","MMR004D002",40,0,12
"MMR004009","Paletwa","ပလက်ဝ","MMR004D002",41,0,12
"MMR005001","Sagaing","စစ်ကိုင်း","MMR005D001",42,0,14
"MMR005002","Myinmu","မြင်းမူ","MMR005D001",43,0,14
"MMR005003","Myaung","မြောင်","MMR005D001",44,0,14
"MMR005004","Shwebo","ရွှေဘို","MMR005D002",45,0,15
"MMR005005","Khin-U","ခင်ဦး","MMR005D002",46,0,15
"MMR005006","Wetlet","ဝက်လက်","MMR005D002",47,0,15
"MMR005007","Kanbalu","ကန့်ဘလူ","MMR005D002",48,0,15
"MMR005008","Kyunhla","ကျွန်းလှ","MMR005D002",49,0,15
